country_code,country,income_level,region
ABW,Aruba,High income,Latin America & Caribbean 
AFG,Afghanistan,Low income,"Middle East, North Africa, Afghanistan & Pakistan"
AGO,Angola,Lower middle income,Sub-Saharan Africa 
ALB,Albania,Upper middle income,Europe & Central Asia
AND,Andorra,High income,Europe & Central Asia
ARE,United Arab Emirates,High income,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,Argentina,Upper middle income,Latin America & Caribbean 
ARM,Armenia,Upper middle income,Europe & Central Asia
ASM,American Samoa,High income,East Asia & Pacific
ATG,Antigua and Barbuda,High income,Latin America & Caribbean 
AUS,Australia,High income,East Asia & Pacific
AUT,Austria,High income,Europe & Central Asia
AZE,Azerbaijan,Upper middle income,Europe & Central Asia
BDI,Burundi,Low income,Sub-Saharan Africa 
BEL,Belgium,High income,Europe & Central Asia
BEN,Benin,Lower middle income,Sub-Saharan Africa 
BFA,Burkina Faso,Low income,Sub-Saharan Africa 
BGD,Bangladesh,Lower middle income,South Asia
BGR,Bulgaria,High income,Europe & Central Asia
BHR,Bahrain,High income,"Middle East, North Africa, Afghanistan & Pakistan"
BHS,"Bahamas, The",High income,Latin America & Caribbean 
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia
BLR,Belarus,Upper middle income,Europe & Central Asia
BLZ,Belize,Upper middle income,Latin America & Caribbean 
BMU,Bermuda,High income,North America
BOL,Bolivia,Lower middle income,Latin America & Caribbean 
BRA,Brazil,Upper middle income,Latin America & Caribbean 
BRB,Barbados,High income,Latin America & Caribbean 
BRN,Brunei Darussalam,High income,East Asia & Pacific
BTN,Bhutan,Lower middle income,South Asia
BWA,Botswana,Upper middle income,Sub-Saharan Africa 
CAF,Central African Republic,Low income,Sub-Saharan Africa 
CAN,Canada,High income,North America
CHE,Switzerland,High income,Europe & Central Asia
CHI,Channel Islands,High income,Europe & Central Asia
CHL,Chile,High income,Latin America & Caribbean 
CHN,China,Upper middle income,East Asia & Pacific
CIV,Cote d'Ivoire,Lower middle income,Sub-Saharan Africa 
CMR,Cameroon,Lower middle income,Sub-Saharan Africa 
COD,"Congo, Dem. Rep.",Low income,Sub-Saharan Africa 
COG,"Congo, Rep.",Lower middle income,Sub-Saharan Africa 
COL,Colombia,Upper middle income,Latin America & Caribbean 
COM,Comoros,Lower middle income,Sub-Saharan Africa 
CPV,Cabo Verde,Upper middle income,Sub-Saharan Africa 
CRI,Costa Rica,High income,Latin America & Caribbean 
CUB,Cuba,Upper middle income,Latin America & Caribbean 
CUW,Curacao,High income,Latin America & Caribbean 
CYM,Cayman Islands,High income,Latin America & Caribbean 
CYP,Cyprus,High income,Europe & Central Asia
CZE,Czechia,High income,Europe & Central Asia
DEU,Germany,High income,Europe & Central Asia
DJI,Djibouti,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
DMA,Dominica,Upper middle income,Latin America & Caribbean 
DNK,Denmark,High income,Europe & Central Asia
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean 
DZA,Algeria,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan"
ECU,Ecuador,Upper middle income,Latin America & Caribbean 
EGY,"Egypt, Arab Rep.",Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
ERI,Eritrea,Low income,Sub-Saharan Africa 
ESP,Spain,High income,Europe & Central Asia
EST,Estonia,High income,Europe & Central Asia
ETH,Ethiopia,Not classified,Sub-Saharan Africa 
FIN,Finland,High income,Europe & Central Asia
FJI,Fiji,Upper middle income,East Asia & Pacific
FRA,France,High income,Europe & Central Asia
FRO,Faroe Islands,High income,Europe & Central Asia
FSM,"Micronesia, Fed. Sts.",Lower middle income,East Asia & Pacific
GAB,Gabon,Upper middle income,Sub-Saharan Africa 
GBR,United Kingdom,High income,Europe & Central Asia
GEO,Georgia,Upper middle income,Europe & Central Asia
GHA,Ghana,Lower middle income,Sub-Saharan Africa 
GIB,Gibraltar,High income,Europe & Central Asia
GIN,Guinea,Lower middle income,Sub-Saharan Africa 
GMB,"Gambia, The",Low income,Sub-Saharan Africa 
GNB,Guinea-Bissau,Low income,Sub-Saharan Africa 
GNQ,Equatorial Guinea,Upper middle income,Sub-Saharan Africa 
